salary,totcomp,tenure,age,sales,profits,assets
3030,8138,7,61,161315,2956,257389
6050,14530,1,51,144416,22071,237545
3571,7433,11,63,139208,4430,49271
3300,13464,6,60,100697,6370,92630
10000,68285,18,63,100469,9296,355935
9375,42381,6,57,81667,6328,86100
9525,12165,15,60,76431,5807,668641
5000,24424,5,61,57813,5372,59920
999,2916,3,57,56154,1120,36672
3300,7467,2,60,53588,6398,59550
3500,3677,16,63,50777,5165,617679
2493,6728,5,61,47678,1704,42754
1911,4727,7,58,47061,2945,33673
2130,2383,4,59,41322,1048,37675
1185,4366,1,56,37154,3780,30966
5236,20582,2,60,35853,1259,299804
1990,14906,4,60,33674,568,14166
6000,31208,32,74,33296,3765.6,194398
6229,11621,5,63,32379,3782,365875
1523,4354,3,56,31707,578,28570
2060,6854,4,52,31565.9,2965.3,55143.9
4417,18623,15,57,31260,703,29350
8888,48962,17,55,31131,3276,317590
3343,11931,5,56,30951,935,15666
1062,1821,4,57,30678,594,23638
2900,3116,2,56,30219,1614,13465
12962,18536,2,52,30147,970,26720
1800,2327,2,49,29398,962,28728
6163,10112,9,57,28777,4023,45066
1195,3327,9,59,28203.3,410.8,6700.1
2550,2557,5,58,26898.2,5248.2,31853.4
2460,4315,11,62,26801,1976,36535
2244,116840,1,59,26273,6068,31471
2344,2485,2,55,26266,1001,28700
2605,3747,1,53,25879,3294,87691
3071,12290,5,57,25715,1255,18375
3195,9865,15,55,25595,3108,261496
2523,4946,7,59,25473,2172,43615
2418,2867,4,56,24754,674,21133
1875,1875,6,49,24484.2,806.7,11389.6
533,550,11,63,24269.9,459.8,6259.8
1098,2477,2,50,23840.5,613.2,11702.8
2627,7215,11,60,23657,3059,26211
2990,3941,2,56,23123,3527,39410
5764,589101,15,57,22976,1850,41378
2000,4082,3,54,22348,1993,22660
3420,12785,15,57,21543,2891,237363
4869,15133,11,55,21437,1292,114612
973,1494,1,60,20977,1513,25128
2250,2627,2,46,20857.3,154.9,5607.5
1380,1419,1,46,20713,464.8,70906.4
1359,2538,2,62,20604.1,848.1,105148.1
3925,4887,6,55,20482,1950,202475
3729,9492,1,54,20019,395,30024
2747,21739,24,62,20011,523,10989
1631,2159,2,56,19942,719,33234
3100,3108,6,53,19894,736,154000
1264,1603,7,51,19866.7,233.7,8885.3
2350,2636,1,52,19530,864,27939
1713,3945,3,60,19500,213,27080
1773,5502,1,52,19205,1314,22303
3419,8681,6,60,19132,2141,126933
2750,40590,2,52,18813,3533,19145
1583,1733,4,60,18441,1310,23830
1875,12357,4,52,18425,963,261067
3194,34753,5,65,18283.6,3141.2,16272.5
2788,2856,15,34,18243,1460,6877
2925,5278,12,57,18048,1700,321421
8050,8109,14,57,17678,2669,80193
1701,2769,2,53,17610,1252,26806
1423,2905,5,63,17561,821,18559
1000,1000,4,61,17487.3,499.5,13925.8
1300,20597,8,51,17355,166,9701
2338,3601,4,58,17353.1,14.7,11112
2083,4096,18,60,17201.4,230.8,4093
3019,5940,5,51,17154,3606,30299
1851,24623,14,59,17134.3,414.5,33231.1
2750,4925,3,53,17037,577,28892
3000,3000,1,51,16891,743.4,11526.1
2128,2137,2,55,16108.6,403.6,13833.5
1656,3796,8,58,16005.1,567.2,6234
1524,4021,28,53,15918.1,247.1,3961.1
1803,17914,28,54,15872.8,503,9686.1
1877,5249,2,55,15833,662,13464
2450,6407,12,63,15489.4,853,17462.5
1422,2104,4,62,15327.5,296.8,3780.2
1314,6737,1,57,15307,511,4902
2003,2316,1,46,15273.6,396.4,6736.2
6000,14699,8,64,15128,1331,15560
750,1056,1,44,15069.3,510.6,3491
1782,7192,2,51,15022,1015,150632
1717,9276,8,62,15021,1175,14153
1660,3053,8,55,14878.8,162.8,10151.2
1169,1345,4,61,14736,740,39514
3959,38221,8,62,14704,3351,18302
8800,15145,7,60,14582,168,31640
542,542,18,43,14484,4490,22357
1356,1379,14,49,14258,108.4,5260
1571,2077,2,56,14138,1001,14603
100,100,29,68,13832,2830,122237
2530,4858,11,64,13821.5,1021.4,18001.5
1287,1345,2,52,13720,3.1,3003.2
600,641,17,53,13617.5,198.6,3068.7
1260,2076,1,61,13504.8,235.5,5019.2
2774,15205,12,61,13462.7,2474.3,21079.1
3400,15413,26,63,13447.2,1228.6,12659.8
1825,3161,1,66,13414,142,21132
1875,2468,1,49,13413,849,10553
3710,6951,5,58,13406,1390,14733
1450,2855,6,58,13223,98,11538
1720,2005,5,56,13195,452,25199
824,1060,6,62,13105,1195.7,104624.4
5568,5786,19,66,12848.6,190,3008.1
1247,2373,1,57,12838.7,534.1,10137.5
1638,5075,9,49,12745.6,1486.9,165493.3
3062,3067,5,52,12703.5,770.7,22715.2
1571,2878,3,60,12648.7,682.3,10589.3
1782,2670,11,58,12586.8,337.7,7942.1
721,1449,14,45,12563.4,132.2,5991.5
1670,5193,1,44,12477.8,2333.2,13216.2
2166,5874,1,56,12421.4,1550.1,19784
1366,2057,4,47,12378,1508,18407
1317,6698,7,51,12297.8,1165.8,11510.3
986,1409,3,55,12244.9,482.4,6344.7
900,7541,3,57,12048,73,133115
5063,5372,9,57,12021.5,106.2,5842.8
2848,5043,11,61,11886,477,7169
1516,2410,5,62,11845,237,14216
1863,4204,1,52,11549,608,13721
1553,1561,13,43,11529,129,3842.1
1745,1829,1,48,11494.8,785.6,22848
3088,5573,22,67,11488.5,141.1,19138.5
1117,1616,4,58,11403,977,36192
1898,1900,4,45,11375.1,316.4,7655.3
2858,10143,24,61,11245.8,1233.3,12484.3
981,5028,1,51,11200,132,7899
1711,1717,1,56,10766,294,12834
800,2317,2,57,10553,633,29374
2400,3688,12,57,10323,325,7935
3201,4568,3,58,10251,764,105107
1879,27455,1,53,10213.7,1254,9230.6
1860,2886,9,55,10208,668,24698
1245,1327,1,61,10056,1081,11902
2675,11842,1,50,10051.3,2097.9,12595.5
4392,7993,17,59,10002,1532,104382
1100,4212,11,59,9898,537,20427
2718,2874,6,55,9895,261,12833
1698,48018,15,44,9790.8,762.9,5711.1
1498,2346,1,43,9781,129,5217
1104,1679,35,61,9553.1,399.6,5397.4
2054,5191,6,51,9521.5,202.4,4630.9
2565,3073,36,61,9346.9,2053.6,4549.7
2140,9780,1,50,9209.3,801.6,8023.4
856,1548,9,62,9108.4,89.3,38322.7
4000,201939,1,55,9061,21,20139
1229,1573,11,59,9059.4,115.5,5677.3
7312,84446,4,54,9054.5,824.5,3963.9
500,17360,9,56,9044.8,285.5,10280.8
3034,3249,11,53,8997.7,233.2,4113
3456,60297,15,60,8971.6,848.6,7685.2
566,6184,12,57,8941,1155,22690
900,956,9,61,8902,214,9564
500,501,1,45,8896.1,165.2,3929.5
2180,11902,13,52,8870.8,104.3,3231.7
2097,2100,23,71,8814.3,75.7,2381.1
3188,3422,5,51,8707.6,524.1,52892.7
1134,7996,1,46,8688,538,7870
1600,22881,4,60,8648,250,16724
821,908,2,52,8575.4,50.5,1552.3
750,763,6,40,8545.8,45.7,3572.1
3600,3840,2,73,8468,445,4531
2478,2652,3,46,8460,407,11250
891,892,4,49,8458.8,1350.1,8916.7
2029,9942,6,58,8426.7,572,7170.4
2527,7834,9,59,8374,624,6435
1587,7018,33,58,8358.2,94.5,2056.3
1088,1150,1,56,8346.5,78.1,5315
1025,1346,13,57,8344.7,145.8,3839.9
1576,1578,11,58,8300,105.1,12469
2458,3644,6,63,8291.5,509.1,8309.5
2748,29139,3,57,8077,1756,7840
1393,6528,4,53,8070.8,1070.7,88245.6
775,797,2,59,8025,427,7170
1860,2034,61,84,8012,135,8178
10372,27176,6,65,7979.9,660.4,154495.9
1951,5592,26,67,7968,390,6233
2147,2149,5,57,7951,383,7086
3374,4939,11,59,7949.1,424.2,2747.8
3515,18407,14,62,7936,1115,77207
1561,1809,2,45,7894.8,416.8,6794.8
1617,1871,4,61,7885,299,6178
15250,124579,21,53,7716,588.1,43599.9
2340,22533,9,60,7664,1327.4,76438
975,15458,5,57,7658.3,127.5,18647.3
1294,6053,32,58,7623.1,19.1,1294.4
2769,9343,4,56,7609,792,73513
1570,1972,5,63,7605,255,8791
2294,3038,3,54,7523.1,1532.5,5024
1735,3052,2,52,7510,801,7837
1894,5185,2,50,7505,660,5633
1800,1800,14,36,7467.9,346.4,2890.4
850,908,3,70,7417.3,231.8,1966.7
531,568,1,49,7414.1,25.1,5242.5
942,2222,1,53,7392.1,971,93169.9
3300,7467,2,60,7351,1943,41851
2345,5621,4,51,7301.1,497.6,7792.3
8088,8897,19,64,7249.6,433.6,54175.9
3000,7418,2,59,7208.4,387,5577.7
2700,3271,7,65,7190,796,11871
1500,4786,1,53,7151.3,510.2,25707.1
1530,1530,22,54,7143.9,813.7,5819
1123,1180,4,54,7125.2,444.4,12304.1
1320,66485,13,50,7123.2,185.4,3179.3
1990,16632,9,47,7104.2,486.8,31183.4
2068,5065,4,55,7100,996,80020
1460,1504,9,57,7093,729.7,14381.4
1752,2471,8,61,7024,280,4849
1000,1000,1,50,7003.6,1260.5,1181.8
1919,2663,3,56,6933,203,6082
2226,15576,2,53,6893,691,10312
618,638,1,42,6819,530,5645
2158,2183,38,65,6805.9,145.1,1944.7
528,1370,1,45,6762.1,502.6,5051.5
727,4921,1,47,6704,122,1341
2000,4029,11,63,6661,664,12029
2700,3705,11,64,6653.9,16.3,4107.8
1921,3973,4,63,6625,349,5665
1300,1308,4,45,6617.5,458.9,7883
1379,1381,9,60,6614,355.8,3600.4
1803,2184,4,54,6600.8,260.4,4046.8
1304,1639,1,44,6599,315,10085
1200,5107,8,64,6596,363,15252
2128,2623,13,53,6572.9,231.3,4225.8
1083,1570,4,46,6568.2,269.2,6968.7
1658,2260,4,47,6505,122,4892
2978,3614,17,62,6492.9,540.5,19688
882,1571,7,57,6452.1,351.9,30891.7
2419,6537,8,56,6428.6,707,58502.6
1775,2893,11,56,6349.8,707,20746
974,1425,6,57,6345.9,536.2,19483.2
800,3271,3,51,6311.9,297.4,7810.8
1121,1855,5,64,6266,21,4542
2243,3449,11,47,6219.9,0.9,5189
1543,1643,5,55,6162.1,37,4966.7
2011,6675,5,58,6149,64,8726
4280,4349,1,46,6087.1,509.8,93836.3
1389,2882,9,63,6086.2,535.6,17517
1616,5692,4,53,6033,421.8,3861.4
1383,1568,13,57,5931,644,17997
1248,1439,1,46,5916.3,151.4,2733.7
1731,2719,5,57,5913.8,874.2,64122.8
1700,5644,2,55,5899.9,294.6,3787.8
1429,1615,3,51,5876.3,261,10298.8
589,914,1,52,5861.3,410.9,18063.5
1330,1485,3,60,5859,66,6134
2818,63959,9,58,5832,539.6,20216.5
1729,7059,1,56,5814,870,50777
971,7274,4,40,5805.2,170.8,2438.4
2550,10317,2,53,5793,1192,63579
1600,3148,9,53,5782,225,10069
2202,3082,4,46,5698,136,2876
1569,2375,4,63,5659,403,7291
1323,2081,3,61,5653,75.3,8839.9
1478,3057,4,57,5647.9,672.8,6118.2
450,682,1,64,5628.7,83,5748.8
870,10109,36,79,5590.5,972.1,14817.4
1238,1540,2,51,5577,1105.7,5551.7
1134,1896,25,62,5539.3,47.3,2725.7
1350,2423,11,55,5528.7,95.5,4800
1749,3438,1,63,5525,294,10456
686,991,12,56,5520,8.3,1315.1
1155,2783,11,50,5506.9,47,1817.8
1191,1869,8,61,5482,440,13744
2297,6154,3,52,5478.8,388.3,3836.7
989,1242,9,68,5449.9,108,11060.7
818,7313,9,43,5420.4,30.2,4080.5
1085,1872,5,62,5379,130,7952
2458,2709,34,65,5292.4,456.7,8463.1
1033,3878,7,59,5288.3,198.8,2410.6
960,9518,5,48,5286,31.5,1160.5
1798,1812,1,53,5212.7,270,2433.5
1293,1297,4,59,5210.5,512.7,12048.4
1500,1500,8,66,5195.1,776.3,25806.3
1430,5270,12,61,5194,580.3,9374.2
1175,1795,16,56,5188.7,159.1,5708.6
1952,5750,11,62,5181,725,17553
1565,3873,14,54,5141,285,11310
2400,6033,13,60,5121.3,999.9,6979.5
800,3434,11,55,5117.6,465.7,16587
1173,6476,4,58,5100.6,423,3779.1
1295,2040,4,46,5027.9,206.7,3115.4
2850,3605,7,64,5009,705,5101
2100,8611,2,56,4970,364,4572
942,1539,1,50,4941.5,139,2689.4
1702,2479,21,64,4934.4,272.9,4065.5
1815,4325,7,63,4933.8,546.8,7489.6
1675,5258,5,56,4876.7,378.8,3627.3
2352,5143,2,57,4842.5,284.5,2510.3
950,1861,7,63,4833,425,8096
1038,4771,3,56,4798.1,605.3,5175.4
2003,6435,4,64,4797.2,263.1,7359.7
1220,1613,1,50,4787.9,61.3,1993.6
1546,10799,2,47,4781.9,332.3,4262.2
800,880,4,50,4745.7,338.8,4999.5
1045,1515,5,65,4724.1,190,2914.9
700,3272,1,51,4719.4,624.5,1637.8
7000,20833,23,54,4719,1169,6706
1714,2683,6,63,4633,319.6,3524.8
1866,2166,12,56,4630.8,363.4,15182.9
725,730,5,54,4597,31.5,3495
1325,1653,2,52,4579.2,119.7,5142.2
2967,36549,13,55,4559.9,754.8,3852.5
884,886,3,56,4553,18.5,945.3
863,1049,5,65,4502.9,19.3,5176.4
1266,1948,11,61,4481,249,5876
1179,1248,7,64,4477.8,120.1,5621.5
322,341,1,48,4474.6,73.3,2467.6
3414,3525,3,57,4468.7,53.7,9940.1
1095,2556,5,60,4435.6,340.9,3404.1
1787,4878,7,58,4428,734,18180
800,1085,14,76,4424.2,12.1,2915.1
1057,3639,1,58,4399.9,181.4,4049.8
623,2749,5,56,4387.8,60,9612.2
1242,1772,8,61,4378.4,106.5,4166.4
1358,2414,4,56,4341.3,238.5,2103.9
1663,1663,11,54,4337.8,48.6,2231.9
1992,5234,3,50,4334.4,576.4,7661
1308,2266,11,59,4287.2,141.3,2056.7
643,859,1,57,4273,27,5324
724,1089,17,52,4258.4,42.6,1103.5
988,1240,2,58,4248.8,360.1,16288.1
1628,1991,2,75,4235.3,141.6,4449.1
1871,14988,7,59,4234,436,47082
869,962,1,49,4221,443,12088
935,1006,9,53,4193.7,96.8,2042.5
2615,3339,15,63,4174.6,187.1,2866.3
567,4704,18,68,4164,433.4,4716
297,497,1,45,4160,61.6,825.1
721,1004,3,52,4151.2,263.7,3226.5
2125,5179,3,73,4129.7,19.6,1129.1
588,606,1,45,4092.7,550.9,1343.9
1164,1683,32,65,4092.3,84.7,964.2
3425,4166,2,46,4092,285.1,6890
1770,5647,7,64,4069.3,280.6,2587.7
998,1051,3,56,4064,297,3944
1665,1928,12,80,4050,124.4,15845.2
1012,1019,22,60,4041.7,230.9,4929.7
2778,2850,15,46,4006.1,46.6,6773
1775,1832,11,53,3975.5,144.8,3416.2
1762,19869,7,56,3973.7,793.4,4568.6
2495,7421,19,64,3968.7,309.9,6942.8
1284,3268,2,60,3950.8,226.5,4192.6
3206,5558,4,60,3945.2,186.3,3351.5
1462,5251,4,60,3939.1,133,3784
1715,2566,2,68,3923.4,241.2,3175.5
1789,15493,6,50,3904,254,23088.1
885,892,43,72,3867.6,181.9,6331.6
2309,2474,24,59,3867.4,53.4,1083.6
787,1087,1,62,3836.1,51.3,6900
875,1480,2,61,3836,147,2086
711,1481,6,57,3826.4,120.8,13861.2
1000,1000,1,53,3794,200,11631
913,919,6,56,3786,569,9607
501,873,18,61,3776.5,41.9,2860
1649,1806,2,52,3767.7,146.8,10387.4
927,968,15,64,3740.1,64.5,15990
1472,3903,1,50,3729.1,333.1,3788.1
1604,1620,1,63,3720,396.2,4327.9
2344,5180,11,63,3720,440,3648
1238,4433,15,64,3709.8,530.5,4361.1
525,543,1,47,3700.3,89,4687.7
1147,1340,3,60,3688.9,394,4981.9
900,1900,1,55,3684,78.1,3253.6
700,748,1,49,3681.8,192.3,1936.1
1245,2326,2,57,3620.3,281.7,6160.8
5617,6447,17,66,3618,236.8,2512.8
969,1050,9,60,3610.9,342,7672
772,836,2,45,3604.3,67.2,2541.4
690,1556,12,60,3553,238.8,6361.9
796,1150,2,52,3552.2,62.5,907.6
2500,2593,37,67,3542.2,20.6,2261.4
746,1199,6,57,3541.5,290.2,1442.7
1145,1150,1,52,3522.6,248,50424.2
1800,11996,6,54,3501.6,430.1,38475.8
1451,2256,2,63,3483.2,9,6674.2
1458,7825,1,58,3459.9,223.3,2142.6
1410,1675,11,56,3432.5,201.2,27607.9
6945,38936,21,61,3388.1,348.5,22264
1322,2996,39,70,3370.4,248,2535.3
8450,9918,38,59,3369.1,326.4,12775.3
750,11447,7,57,3362,44,2812
817,889,6,60,3358.1,327.7,9195
1210,1311,14,65,3347.9,108.5,2566.7
407,427,1,45,3327.3,10.4,1779.4
670,778,7,54,3323.6,94.6,1284.5
1338,4199,11,41,3320.9,131.6,3021.3
748,802,5,60,3318.2,386.5,8847.4
1437,3269,11,50,3304.5,206.4,3793.8
2925,3509,4,57,3291.5,1417.3,4218.3
1648,1860,8,62,3289.2,136.5,2106.5
1048,1872,4,58,3287,101.7,1984.7
1520,2951,12,61,3269.1,106.3,1607.2
511,587,22,60,3266.9,63.4,1025.1
1920,3328,11,63,3265.8,127.9,1550
3300,3514,4,44,3265.1,286.6,7061.1
1325,1352,6,55,3261,139.3,1555.9
647,673,2,54,3259.1,120.5,2554.6
650,1006,1,34,3243,153,7063
774,777,2,51,3242.9,227.9,2748.1
900,905,9,55,3234.6,299.8,3597.8
1000,1056,21,55,3224.6,23.9,1740
1199,8675,22,59,3221,182,1211.8
1950,4441,11,61,3219.9,607.1,36600.8
1002,1103,2,46,3203.7,54.7,908.9
1087,1093,11,52,3142.1,62.5,3098.5
1100,1390,3,60,3130,399.2,8347.4
1163,1288,3,48,3130,332,2357
1747,8866,5,64,3116.9,236.6,3846
709,709,3,58,3112.1,28.7,1105.7
1990,3286,1,45,3100.6,459.6,2964.7
1075,17811,36,68,3100.2,434.6,38468.7
1225,3973,4,58,3099.6,365.9,4257.1
621,701,15,58,3082.1,20.1,717.8
1121,2023,15,61,3074.5,137.3,1501.6
856,2280,1,58,3072.5,421.7,36831.9
600,1184,7,56,3071.6,153.2,6087.7
1325,1345,2,53,3064.6,501.5,37210
1240,1528,11,63,3063.4,190.9,5036.5
1115,1139,2,52,3059.2,58,1167
910,4845,1,65,3050.6,108.5,1129.5
633,633,2,62,3045.3,9.4,1147
2600,3001,1,54,3025.8,247.8,54812.3
1595,1601,1,46,3020.6,243,1483.4
663,1663,5,39,3011.9,233.7,4688.3
1227,3004,11,50,3009.2,501.8,34427.2
1440,1440,34,58,3005.6,92.4,1807.6
1381,1997,8,60,2993.8,55.6,1373.5
1697,10485,4,61,2980.9,414.3,5935.6
4002,26745,13,55,2972.6,68,5381.2
2698,3413,18,62,2943.3,368.6,38133.8
484,1492,1,53,2941.4,60.6,2750.4
1073,1090,2,51,2936.7,278.9,3465.1
1866,4311,11,59,2934,375,35800.2
906,2627,6,59,2932.8,193.9,4986.5
2300,2387,9,57,2910,182.9,2738.7
875,1151,7,50,2904.7,132,5008.7
1758,2444,5,62,2896.4,16.6,2854.8
